City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,-53.15,-70.9167,41.11,100,100,11.5
1,Kantang,TH,7.4054,99.5156,84.97,98,75,4.61
2,Chakwal,PK,32.9334,72.8585,82.6,29,0,7.31
3,Ushuaia,AR,-54.8,-68.3,51.46,62,0,0.0
4,Bahia Honda,CU,22.9036,-83.1592,77.23,86,66,5.37
5,Upernavik,GL,72.7868,-56.1549,19.74,97,12,7.38
6,Albany,US,42.6001,-73.9662,57.61,83,92,6.82
7,Soligalich,RU,59.0778,42.2864,31.93,93,69,7.11
8,Kaitangata,NZ,-46.2817,169.8464,42.01,91,64,10.94
9,Yar-Sale,RU,66.8333,70.8333,33.82,95,100,23.51
10,Sirawai,PH,7.5854,122.1407,86.67,69,46,1.92
11,Balkhash,KZ,46.844,74.9804,63.21,39,0,15.66
12,Nikolskoye,RU,59.7035,30.7861,37.87,80,55,3.96
13,Batemans Bay,AU,-35.7167,150.1833,58.1,58,100,5.41
14,Inhambane,MZ,-23.865,35.3833,68.86,88,3,7.05
15,Cidreira,BR,-30.1811,-50.2056,55.35,90,20,10.42
16,Kuytun,RU,54.3419,101.5036,70.77,49,56,7.09
17,Yulara,AU,-25.2406,130.9889,65.89,45,0,10.65
18,Hithadhoo,MV,-0.6,73.0833,82.94,72,24,10.31
19,Mineros,BO,-17.1167,-63.2333,54.27,39,83,2.71
20,Puerto Ayora,EC,-0.7393,-90.3518,73.54,97,45,6.46
21,Pacific Grove,US,36.6177,-121.9166,71.87,65,0,17.27
22,Butaritari,KI,3.0707,172.7902,82.09,68,6,13.4
23,Jevnaker,NO,60.2414,10.385,52.56,93,100,1.95
24,Bluff,NZ,-46.6,168.3333,42.8,65,83,22.82
25,Svetlyy,RU,54.675,20.1347,60.85,71,100,10.38
26,Bhum,IN,18.4667,75.6667,81.36,62,100,11.56
27,Moose Factory,CA,51.2585,-80.6094,51.8,54,75,5.75
28,Vardo,NO,70.3705,31.1107,33.78,69,100,0.0
29,Sola,VU,-13.8833,167.55,82.27,75,22,14.03
30,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,34,9.37
31,Miajadas,ES,39.1513,-5.9084,71.8,44,100,2.95
32,Lagoa,PT,39.05,-27.9833,58.98,78,80,5.77
33,Ondjiva,AO,-17.0667,15.7333,57.09,59,4,6.58
34,Ust-Kuyga,RU,70.0167,135.6,34.18,100,100,3.44
35,Boralday,KZ,43.3578,76.8594,62.46,72,40,0.0
36,Carnarvon,AU,-24.8667,113.6333,72.12,53,17,13.71
37,Egvekinot,RU,66.3167,-179.1667,33.17,87,90,2.71
38,Chara,RU,56.9064,118.2631,50.41,65,91,2.26
39,Frazao,PT,41.2587,-8.4001,57.4,87,100,2.89
40,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,75,0,4.61
41,Busselton,AU,-33.65,115.3333,63.55,72,87,6.15
42,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,10.36
43,College,US,64.8569,-147.8028,68.47,31,40,6.91
44,Stornoway,GB,58.2093,-6.3865,53.92,82,75,16.11
45,Puerto Escondido,MX,15.85,-97.0667,82.15,71,5,7.07
46,Borgosesia,IT,45.7145,8.2799,65.41,83,70,4.43
47,Mataura,NZ,-46.1927,168.8643,42.48,88,97,9.62
48,Sayyan,YE,15.1718,44.3244,59.31,23,0,4.88
49,Geraldton,AU,-28.7667,114.6,68.41,77,100,10.36
50,Barrow,US,71.2906,-156.7887,30.22,86,100,18.41
51,Khatanga,RU,71.9667,102.5,30.96,92,100,3.0
52,Qaanaaq,GL,77.484,-69.3632,15.42,67,96,6.38
53,Ponta Do Sol,PT,32.6667,-17.1,66.83,82,39,2.42
54,Upata,VE,8.0086,-62.3989,77.2,79,0,5.1
55,Yerbogachen,RU,61.2767,108.0108,50.58,54,16,8.68
56,Tuatapere,NZ,-46.1333,167.6833,43.52,78,100,16.67
57,Kabinda,CD,-6.1333,24.4833,68.5,65,80,2.73
58,Ahipara,NZ,-35.1667,173.1667,63.63,63,86,20.98
59,Dingle,PH,10.9995,122.6711,87.35,65,25,5.57
60,Hobart,AU,-42.8794,147.3294,55.06,69,40,4.61
61,Saldanha,ZA,-33.0117,17.9442,46.45,62,9,15.97
62,Tiksi,RU,71.6872,128.8694,30.96,95,100,11.5
63,Rikitea,PF,-23.1203,-134.9692,76.24,80,100,11.56
64,Lebu,CL,-37.6167,-73.65,55.65,94,100,29.35
65,Cayenne,GF,4.9333,-52.3333,80.1,1,20,1.01
66,Bredasdorp,ZA,-34.5322,20.0403,51.03,63,29,6.24
67,Smithers,CA,54.7804,-127.1743,59.32,36,20,0.0
68,Ribeira Grande,PT,38.5167,-28.7,60.19,77,61,4.7
69,Lorengau,PG,-2.0226,147.2712,83.82,74,41,4.83
70,Avarua,CK,-21.2078,-159.775,77.83,78,54,18.07
71,Norman Wells,CA,65.282,-126.8329,55.44,47,40,9.22
72,Shingu,JP,33.7333,135.9833,74.79,41,100,3.18
73,Kodiak,US,57.79,-152.4072,56.71,51,0,13.8
74,Lasa,IT,46.6166,10.7002,56.35,88,91,2.57
75,Jamestown,US,42.097,-79.2353,62.24,78,20,5.75
76,Morondava,MG,-20.2833,44.2833,71.44,67,0,6.82
77,Pevek,RU,69.7008,170.3133,32.9,99,100,4.07
78,Abha,SA,18.2164,42.5053,64.65,14,0,0.0
79,New Norfolk,AU,-42.7826,147.0587,54.72,67,3,1.99
80,Port Elizabeth,ZA,-33.918,25.5701,55.69,93,100,12.66
81,Port Alfred,ZA,-33.5906,26.891,56.17,96,100,1.99
82,Kapaa,US,22.0752,-159.319,80.58,90,100,12.66
83,Barranca,PE,-10.75,-77.7667,65.17,88,63,7.67
84,Sokolo,ML,14.7328,-6.1219,91.72,21,59,4.76
85,Cabedelo,BR,-6.9811,-34.8339,77.67,83,100,8.48
86,Carauari,BR,-4.8828,-66.8958,69.37,86,87,1.43
87,Hilo,US,19.7297,-155.09,82.13,80,100,5.75
88,Saint-Joseph,RE,-21.3667,55.6167,68.38,72,16,10.04
89,Nanortalik,GL,60.1432,-45.2371,36.54,69,98,9.26
90,Patan,NP,27.6667,85.3333,64.78,94,75,4.61
91,Amboasary,MG,-25.0333,46.3833,64.36,80,0,3.96
92,Atuona,PF,-9.8,-139.0333,78.19,61,0,9.37
93,Tiarei,PF,-17.5333,-149.3333,84.22,73,4,5.7
94,Gizo,SB,-8.103,156.8419,84.85,67,6,2.37
95,Muncar,ID,-8.4333,114.3333,82.35,79,97,4.18
96,Katherine,AU,-14.4667,132.2667,88.12,42,5,9.22
97,Te Anau,NZ,-45.4167,167.7167,42.8,84,87,4.03
98,Rocha,UY,-34.4833,-54.3333,44.65,91,0,4.14
99,Saskylakh,RU,71.9167,114.0833,32.7,99,100,3.42
100,Opuwo,NA,-18.0607,13.84,53.28,83,0,6.55
101,Kavieng,PG,-2.5744,150.7967,83.52,72,8,8.84
102,Aykhal,RU,66.0,111.5,34.23,98,100,6.8
103,Casino,AU,-28.8667,153.05,63.57,84,100,5.32
104,Fereydun Kenar,IR,36.6864,52.5225,66.42,82,0,4.61
105,Fukue,JP,32.6881,128.8419,71.96,78,75,9.22
106,Lufilufi,WS,-13.8745,-171.5986,91.18,73,8,12.46
107,Gamba,GA,-2.65,10.0,75.07,90,100,3.42
108,Cabo San Lucas,MX,22.8909,-109.9124,83.61,70,2,15.01
109,Sechura,PE,-5.5569,-80.8222,67.77,77,30,13.87
110,Ilulissat,GL,69.2167,-51.1,32.02,86,0,0.0
111,Yellowknife,CA,62.456,-114.3525,54.12,24,0,9.22
112,At-Bashi,KG,41.1702,75.8106,56.41,52,100,2.77
113,Neuquen,AR,-38.9516,-68.0591,42.69,100,0,0.0
114,Clifton,US,40.8584,-74.1638,65.79,84,75,6.91
115,El Cocuy,CO,6.4078,-72.4446,50.85,92,100,4.97
116,Necochea,AR,-38.5473,-58.7368,45.68,64,49,10.92
117,Arraial Do Cabo,BR,-22.9661,-42.0278,68.81,71,97,30.04
118,Mar Del Plata,AR,-38.0023,-57.5575,48.94,79,0,10.36
119,Alta Floresta,BR,-9.8756,-56.0861,61.02,60,74,2.01
120,Torbay,CA,47.6666,-52.7314,44.28,84,0,8.99
121,Paamiut,GL,61.994,-49.6678,33.8,86,78,3.53
122,Haines Junction,CA,60.7522,-137.5108,55.35,41,46,2.3
123,Denia,ES,38.8408,0.1057,70.47,86,29,11.01
124,Rosetown,CA,51.5501,-108.0014,40.66,93,100,16.11
125,Dikson,RU,73.5069,80.5464,30.34,79,100,9.35
126,Moose Jaw,CA,50.4001,-105.5344,39.45,87,100,25.32
127,Nakhon Phanom,TH,17.3333,104.4167,80.4,93,100,6.08
128,Sambava,MG,-14.2667,50.1667,70.63,80,62,9.62
129,Isangel,VU,-19.55,169.2667,78.76,83,100,15.93
